Channel Name,Country,Likes Avg.,Posts,Followers,Comments Avg.,Views Avg.,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement,Engagement per Follower,Likes per Post,Main video category
cristiano,ES,8671952.688,3328,465027234,51758.33093,17009493.6,3321113.0,5327340.25,6948658.867,0.014915592,23341478961.0,50.193789211493794,2605.755014423077,Sports
kyliejenner,US,8296735.663,6921,356687629,47534.12096,22875472.89,1223002.0,2196528.5,4692458.947,0.017617215,43405232708.0,121.68976207470318,1198.7770066464384,Unknown
leomessi,Unknown,6895177.813,875,347032978,47044.54031,11761596.37,3199807.0,5359468.6,5668453.857,0.015533562,5017525175.0,14.458352643938063,7880.203214857143,Unknown
selenagomez,US,6252711.417,1835,334551681,39167.11573,10723973.0,0.0,2340219.0,2340219.0,0.013912687,8777194284.0,26.23569027590688,3407.472161852861,Unknown
therock,US,1874150.504,6660,327064138,8529.747043,5413831.363,713970.0,1101338.556,1165227.385,0.004425938,9889295380.0,30.236562897030307,281.4039795795796,Unknown
kimkardashian,US,3536820.063,5603,323090977,16964.80744,9642516.175,2699977.667,2704005.273,2586789.375,0.008303645,15243152368.0,47.17913359740777,631.2368486525075,Unknown
arianagrande,US,3712125.929,4961,321374794,19077.73158,6654929.03,3813109.0,3813109.0,3384398.0,0.009325677,15084192943.0,46.9364530903441,748.2616264865954,Unknown
beyonce,US,3627594.667,2036,267023539,24558.1454,8767897.171,4311158.0,4311158.0,1686724.154,0.010757704,6046997948.0,22.64593590005561,1781.726260805501,Unknown
khloekardashian,US,2391194.0,4092,260359924,10442.21154,7593868.457,0.0,0.0,0.0,0.006556504,7175027227.0,27.558109238808964,584.3582600195504,Sports
kendalljenner,US,5520992.5,666,247599374,21191.32992,14428678.31,6347174.5,5977548.25,5058515.429,0.016728936,2990800694.0,12.079193277766526,8289.778528528528,Unknown
justinbieber,CA,1887637.679,7305,247448517,10084.74627,4337923.863,0.0,0.0,1415614.875,0.006190988,11361556811.0,45.9148308858121,258.40351526351816,Unknown
natgeo,US,304664.0,10002,232020700,1225.234286,2345345.444,111805.9231,138451.3774,158992.7103,0.001091963,2753802823.0,11.86878077257762,30.46030793841232,Education
nike,US,333382.0,932,228524022,5520.935484,2638441.274,300163.3333,273080.0,236986.6667,0.001431226,527135348.8,2.306695568310976,357.70600858369096,Sports
taylorswift,US,2397441.0,537,218097325,334.73,7916979.967,0.0,2049206.0,2049206.0,0.008864363,1255462813.0,5.756433798534668,4464.508379888268,Unknown
jlo,US,1691841.5,3151,217547805,11942.84,6363148.91,0.0,688847.0,812984.6,0.005914066,4233181416.0,19.458626190229776,536.92208822596,Music
virat.kohli,Unknown,3472381.5,1390,206743723,18090.06726,4841319.094,2740001.0,2874632.0,2210917.5,0.012603389,3799233948.0,18.37653831937621,2498.11618705036,Education
